name,meanLoss,meanPhi,violProb,meanScore,cvarScore
MID-4-5,6.00238183666016,0,0,6.00238183666016,8.47677987880683
MID-2-5,6.21604089759012,0,0,6.21604089759012,8.50996893788099
MID-3-4,6.09891705709413,0.000202223519185632,0.0050251256281407,6.11913940901269,8.6841919869877
MID-2-3,6.20557020472171,0.000349588249638391,0.005,6.24052902968554,8.99797840334726
MID-2-4,6.27087093824759,0.000339901830690873,0.0050251256281407,6.30486112131668,9.10425257999332
MID-1-3,6.6825421716087,0.0012963810750903,0.0101522842639594,6.81218027911773,10.388620453027
MID-1-2,9.04598376230004,0.000918226347010333,0.0201005025125628,9.13780639700107,11.7513163801718
BUS-4,6.81782924774084,0.000174936763532575,0.005,6.8353229240941,15.5046681405525
BUS-3,6.84346919506765,0.000224764875987862,0.005,6.86594568266643,15.5049919444049
BUS-5,6.74240058247534,0,0,6.74240058247534,15.5995188887465
BUS-2,7.87986996212546,0.000499126356287821,0.005,7.92978259775424,17.5614096233662
